appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-28/bee-25,2026-05-28,25,aruco:75,aruco,75,assigned,2,1;2,aruco:75,decoder_conflict,decoder_competition_or_disagreement,aruco:75,assigned,aruco:75,confirmed,,in_domain,true
2026-05-28/bee-26,2026-05-28,26,aruco:72,aruco,72,assigned,2,1;2,aruco:72,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:72,assigned,aruco:72,confirmed,,in_domain,true
2026-05-28/bee-27,2026-05-28,27,aruco:128,aruco,128,assigned,1,1,aruco:128,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:128,assigned,aruco:128,confirmed,,in_domain,true
2026-05-28/bee-28,2026-05-28,28,aruco:97,aruco,97,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:97,confirmed,,in_domain,true
2026-05-28/bee-29,2026-05-28,29,aruco:82,aruco,82,assigned,1,1,aruco:82,decoder_conflict,decoder_competition_or_disagreement,aruco:82,assigned,aruco:82,confirmed,,in_domain,true
2026-05-28/bee-30,2026-05-28,30,aruco:98,aruco,98,assigned,1,1,aruco:98,decoder_conflict,decoder_competition_or_disagreement,aruco:98,assigned,aruco:98,confirmed,,in_domain,true
2026-05-28/bee-31,2026-05-28,31,aruco:124,aruco,124,assigned,2,1;2,aruco:124,decoder_conflict,decoder_competition_or_disagreement,aruco:124,assigned,aruco:124,confirmed,,in_domain,true
2026-05-28/bee-32,2026-05-28,32,aruco:0,aruco,0,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:0,confirmed,,in_domain,true
2026-05-28/bee-33,2026-05-28,33,aruco:10,aruco,10,assigned,1,1,aruco:10,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:10,assigned,aruco:10,confirmed,,in_domain,true
2026-05-28/bee-34,2026-05-28,34,aruco:44,aruco,44,assigned,1,1,aruco:44,decoder_conflict,decoder_competition_or_disagreement,aruco:44,assigned,aruco:44,confirmed,,in_domain,true
2026-05-28/bee-35,2026-05-28,35,aruco:51,aruco,51,assigned,2,1;2,aruco:51,decoder_conflict;decoder_no_confirmation,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,aruco:51,assigned,aruco:51,confirmed,,in_domain,true
2026-05-28/bee-36,2026-05-28,36,aruco:14,aruco,14,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:14,confirmed,,in_domain,true
